code_length,line_count,avg_line_length,entropy,amsi_keyword_count,has_amsi_keyword,win32_api_count,has_virtualprotect,has_getprocaddress,has_loadlibrary,reflection_count,has_reflection,marshal_op_count,backtick_count,has_format_operator,char_cast_count,string_concat_count,plus_operator_density,has_base64,has_memory_patch_pattern,hex_byte_array,has_page_rwx,dllimport_count,has_add_type,has_registry_amsi,has_ps_downgrade,has_scriptblock_ast,has_hw_breakpoint,has_etw_tamper,has_download_cradle,has_clr_targeting,special_char_ratio,case_ratio,composite_risk,label,label_name,source_id,technique_name
384,3,128.0,5.313741974123401,0,0,0,0,0,0,4,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.171875,0.3054393305439331,8,1,AMSI_Bypass,PL-023,Disable ScriptBlock Logging via Reflection
458,12,38.166666666666664,4.9170038622013985,1,1,0,0,0,0,0,0,0,0,0,0,8,0.017467248908296942,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16812227074235808,0.12802768166089964,3,1,AMSI_Bypass,PL-024,AmsiTrigger Targeted Obfuscation Workflow
1052,16,65.75,5.058055056898242,0,0,5,1,1,1,0,0,0,0,0,0,0,0.0009505703422053232,0,1,0,0,0,0,0,0,0,0,0,0,0,0.10646387832699619,0.26013513513513514,15,1,AMSI_Bypass,PL-025,VBA Macro AMSI Bypass (Office)
67,1,67.0,4.31259749709413,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1044776119402985,0.28205128205128205,0,0,Benign,BEN-000,Normal_Command
52,1,52.0,4.531768565580187,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21153846153846154,0.2,0,0,Benign,BEN-001,Normal_Command
39,1,39.0,4.047846769977879,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07692307692307693,0.30434782608695654,0,0,Benign,BEN-002,Normal_Command
75,1,75.0,4.551612691271604,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0.22,0,0,Benign,BEN-003,Normal_Command
67,1,67.0,4.603163631786077,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05970149253731343,0.20408163265306123,0,0,Benign,BEN-004,Normal_Command
52,1,52.0,4.302919824620763,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19230769230769232,0.34615384615384615,0,0,Benign,BEN-005,Normal_Command
64,1,64.0,4.782963821688583,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.140625,0.23076923076923078,0,0,Benign,BEN-006,Normal_Command
48,1,48.0,4.377167324657884,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08333333333333333,0.25,0,0,Benign,BEN-007,Normal_Command
65,1,65.0,4.494316850990732,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09230769230769231,0.23255813953488372,0,0,Benign,BEN-008,Normal_Command
54,1,54.0,4.24932778093851,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09259259259259259,0.2571428571428571,0,0,Benign,BEN-009,Normal_Command
54,1,54.0,4.342282410728398,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09259259259259259,0.2571428571428571,0,0,Benign,BEN-010,Normal_Command
48,1,48.0,4.371115365169272,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08333333333333333,0.21212121212121213,0,0,Benign,BEN-011,Normal_Command
44,1,44.0,4.280470187252587,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09090909090909091,0.1875,0,0,Benign,BEN-012,Normal_Command
12,1,12.0,3.418295834054489,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08333333333333333,0.0,0,0,Benign,BEN-013,Normal_Command
8,1,8.0,2.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,Benign,BEN-014,Normal_Command
29,1,29.0,3.8573068568981284,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,Benign,BEN-015,Normal_Command
75,1,75.0,4.282840865134893,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0.2978723404255319,0,0,Benign,BEN-016,Normal_Command
77,1,77.0,4.565061625409204,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12987012987012986,0.2608695652173913,0,0,Benign,BEN-017,Normal_Command
58,1,58.0,4.575159822818812,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1724137931034483,0.15789473684210525,0,0,Benign,BEN-018,Normal_Command
38,1,38.0,4.113206053476118,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21052631578947367,0.22727272727272727,0,0,Benign,BEN-019,Normal_Command
56,1,56.0,4.430222502793967,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10714285714285714,0.2777777777777778,0,0,Benign,BEN-020,Normal_Command
68,1,68.0,4.515494414932971,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1323529411764706,0.1956521739130435,0,0,Benign,BEN-021,Normal_Command
49,1,49.0,4.230047161830223,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14285714285714285,0.14705882352941177,0,0,Benign,BEN-022,Normal_Command
37,1,37.0,4.499597622210292,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16216216216216217,0.21739130434782608,0,0,Benign,BEN-023,Normal_Command
62,1,62.0,4.836709011755515,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11290322580645161,0.2702702702702703,0,0,Benign,BEN-024,Normal_Command
